model,batch_size,sequence_length,result
BART_large,4,4,0.0152
BART_large,4,8,0.0155
BART_large,4,16,0.0155
BART_large,4,32,0.0157
BART_large,4,64,0.0215
BART_large,4,128,0.0394
BART_large,4,256,0.0796
BART_large,4,512,0.1625
BART_large,8,1,0.0133
BART_large,8,2,0.0152
BART_large,8,4,0.0155
BART_large,8,8,0.0156
BART_large,8,16,0.0155
BART_large,8,32,0.0217
BART_large,8,64,0.0387
BART_large,8,128,0.0745
BART_large,8,256,0.1477
BART_large,8,512,0.3182
BART_large,16,1,0.0132
BART_large,16,2,0.0155
BART_large,16,4,0.0154
BART_large,16,8,0.0155
BART_large,16,16,0.0216
BART_large,16,32,0.0385
BART_large,16,64,0.0729
BART_large,16,128,0.1414
BART_large,16,256,0.2915
BART_large,16,512,0.6286
BART_large,32,1,0.0134
BART_large,32,2,0.0155
BART_large,32,4,0.0154
BART_large,32,8,0.0214
BART_large,32,16,0.0388
BART_large,32,32,0.0730
BART_large,32,64,0.1410
BART_large,32,128,0.2780
BART_large,32,256,0.5723
BART_large,32,512,1.2398
mBART_large,1,1,0.0111
mBART_large,1,2,0.0142
mBART_large,1,4,0.0141
mBART_large,1,8,0.0157
mBART_large,1,16,0.0153
mBART_large,1,32,0.0159
mBART_large,1,64,0.0179
mBART_large,1,128,0.0209
mBART_large,1,256,0.0336
mBART_large,1,512,0.0650
mBART_large,2,1,0.0123
mBART_large,2,2,0.0143
mBART_large,2,4,0.0155
mBART_large,2,8,0.0153
mBART_large,2,16,0.0155
mBART_large,2,32,0.0179
mBART_large,2,64,0.0207
mBART_large,2,128,0.0330
mBART_large,2,256,0.0630
mBART_large,2,512,0.1244
mBART_large,4,1,0.0122
mBART_large,4,2,0.0156
mBART_large,4,4,0.0155
mBART_large,4,8,0.0153
mBART_large,4,16,0.0175
mBART_large,4,32,0.0207
mBART_large,4,64,0.0325
mBART_large,4,128,0.0609
mBART_large,4,256,0.1185
mBART_large,4,512,0.2400
mBART_large,8,1,0.0135
mBART_large,8,2,0.0153
mBART_large,8,4,0.0153
mBART_large,8,8,0.0177
mBART_large,8,16,0.0204
mBART_large,8,32,0.0327
mBART_large,8,64,0.0604
mBART_large,8,128,0.1142
mBART_large,8,256,0.2263
mBART_large,8,512,0.4722
mBART_large,16,1,0.0134
mBART_large,16,2,0.0156
mBART_large,16,4,0.0177
mBART_large,16,8,0.0204
mBART_large,16,16,0.0324
mBART_large,16,32,0.0599
mBART_large,16,64,0.1123
mBART_large,16,128,0.2197
mBART_large,16,256,0.4431
mBART_large,16,512,0.9380
mBART_large,32,1,0.0135
mBART_large,32,2,0.0178
mBART_large,32,4,0.0204
mBART_large,32,8,0.0324
mBART_large,32,16,0.0602
mBART_large,32,32,0.1134
mBART_large,32,64,0.2171
mBART_large,32,128,0.4312
mBART_large,32,256,0.8824
mBART_large,32,512,1.8657
